code_experimentation,debitCO2_g,elapsedtime_s
PR13-10-23F13,1.091,259380
PR13-10-23F13,1.066,260580
PR13-10-23F13,1.069,261780
PR13-10-23F13,1.071,262980
PR13-10-23F13,1.033,264180
PR13-10-23F13,1.053,265380
PR13-10-23F13,1.062,266580
PR13-10-23F13,1.021,267780
PR13-10-23F13,1.037,268980
PR13-10-23F13,1.038,270180
PR13-10-23F13,1.003,271380
PR13-10-23F13,1.025,272580
PR13-10-23F13,1.022,273780
PR13-10-23F13,0.994,274980
PR13-10-23F13,1.003,276180
PR13-10-23F13,1.008,277380
PR13-10-23F13,0.97,278580
PR13-10-23F13,0.988,279780
PR13-10-23F13,0.991,280980
PR13-10-23F13,0.96,282180
PR13-10-23F13,0.969,283380
PR13-10-23F13,0.972,284580
PR13-10-23F13,0.949,285780
PR13-10-23F13,0.941,286980
PR13-10-23F13,0.954,288180
PR13-10-23F13,0.945,289380
PR13-10-23F13,0.918,290580
PR13-10-23F13,0.934,291780
PR13-10-23F13,0.93,292980
PR13-10-23F13,0.897,294180
PR13-10-23F13,0.886,295380
PR13-10-23F13,0.889,296580
PR13-10-23F13,0.888,297780
PR13-10-23F13,0.856,298980
PR13-10-23F13,0.862,300180
PR13-10-23F13,0.864,301380
PR13-10-23F13,0.841,302580
PR13-10-23F13,0.833,303780
PR13-10-23F13,0.843,304980
PR13-10-23F13,0.839,306180
PR13-10-23F13,0.821,307380
PR13-10-23F13,0.809,308580
PR13-10-23F13,0.812,309780
PR13-10-23F13,0.814,310980
PR13-10-23F13,0.801,312180
PR13-10-23F13,0.775,313380
PR13-10-23F13,0.787,314580
PR13-10-23F13,0.784,315780
PR13-10-23F13,0.781,316980
PR13-10-23F13,0.743,318180
PR13-10-23F13,0.744,319380
PR13-10-23F13,0.754,320580
PR13-10-23F13,0.758,321780
PR13-10-23F13,0.743,322980
PR13-10-23F13,0.716,324180
PR13-10-23F13,0.729,325380
PR13-10-23F13,0.726,326580
PR13-10-23F13,0.724,327780
PR13-10-23F13,0.702,328980
PR13-10-23F13,0.7,330180
PR13-10-23F13,0.705,331380
PR13-10-23F13,0.702,332580
PR13-10-23F13,0.679,333780
PR13-10-23F13,0.681,334980
PR13-10-23F13,0.689,336180
PR13-10-23F13,0.657,337380
PR13-10-23F13,0.674,338580
PR13-10-23F13,0.651,339780
PR13-10-23F13,0.661,340980
PR13-10-23F13,0.639,342180
PR13-10-23F13,0.642,343380
PR13-10-23F13,0.642,344580
PR13-10-23F13,0.628,345780
PR13-10-23F13,0.615,346980
PR13-10-23F13,0.62,348180
PR13-10-23F13,0.619,349380
PR13-10-23F13,0.618,350580
PR13-10-23F13,0.616,351780
PR13-10-23F13,0.587,352980
PR13-10-23F13,0.595,354180
PR13-10-23F13,0.595,355380
PR13-10-23F13,0.596,356580
PR13-10-23F13,0.591,357780
PR13-10-23F13,0.577,358980
PR13-10-23F13,0.57,360180
PR13-10-23F13,0.57,361380
PR13-10-23F13,0.569,362580
PR13-10-23F13,0.568,363780
PR13-10-23F13,0.565,364980
PR13-10-23F13,0.563,366180
PR13-10-23F13,0.534,367380
PR13-10-23F13,0.543,368580
PR13-10-23F13,0.543,369780
PR13-10-23F13,0.54,370980
PR13-10-23F13,0.54,372180
PR13-10-23F13,0.536,373380
PR13-10-23F13,0.536,374580
PR13-10-23F13,0.533,375780
PR13-10-23F13,0.506,376980
PR13-10-23F13,0.512,378180
PR13-10-23F13,0.512,379380
PR13-10-23F13,0.511,380580
PR13-10-23F13,0.512,381780
PR13-10-23F13,0.506,382980
PR13-10-23F13,0.505,384180
PR13-10-23F13,0.501,385380
PR13-10-23F13,0.499,386580
PR13-10-23F13,0.489,387780
PR13-10-23F13,0.475,388980
PR13-10-23F13,0.48,390180
PR13-10-23F13,0.479,391380
PR13-10-23F13,0.481,392580
PR13-10-23F13,0.477,393780
PR13-10-23F13,0.472,394980
PR13-10-23F13,0.471,396180
PR13-10-23F13,0.467,397380
PR13-10-23F13,0.466,398580
PR13-10-23F13,0.463,399780
PR13-10-23F13,0.458,400980
PR13-10-23F13,0.435,402180
PR13-10-23F13,0.442,403380
PR13-10-23F13,0.434,404580
PR13-10-23F13,0.44,405780
PR13-10-23F13,0.439,406980
PR13-10-23F13,0.438,408180
PR13-10-23F13,0.436,409380
PR13-10-23F13,0.435,410580
PR13-10-23F13,0.431,411780
PR13-10-23F13,0.431,412980
PR13-10-23F13,0.427,414180
PR13-10-23F13,0.428,415380
PR13-10-23F13,0.425,416580
PR13-10-23F13,0.424,417780
PR13-10-23F13,0.411,418980
PR13-10-23F13,0.407,420180
PR13-10-23F13,0.41,421380
PR13-10-23F13,0.398,422580
PR13-10-23F13,0.398,423780
PR13-10-23F13,0.405,424980
PR13-10-23F13,0.379,426180
PR13-10-23F13,0.408,427440
PR13-10-23F13,0.376,428640
PR13-10-23F13,0.382,429840
PR13-10-23F13,0.384,431040
PR13-10-23F13,0.383,432240
PR13-10-23F13,0.381,433440
PR13-10-23F13,0.381,434640
PR13-10-23F13,0.378,435840
PR13-10-23F13,0.376,437040
PR13-10-23F13,0.373,438240
PR13-10-23F13,0.372,439440
PR13-10-23F13,0.369,440640
PR13-10-23F13,0.366,441840
PR13-10-23F13,0.365,443040
PR13-10-23F13,0.364,444240
PR13-10-23F13,0.361,445440
PR13-10-23F13,0.36,446640
PR13-10-23F13,0.343,447840
PR13-10-23F13,0.344,449040
PR13-10-23F13,0.345,450240
PR13-10-23F13,0.342,451440
PR13-10-23F13,0.342,452640
