code_experimentation,debitCO2_g,elapsedtime_s
PR06-01-23F01,0.098648,0
PR06-01-23F01,0.416063,1200
PR06-01-23F01,0.399778,2400
PR06-01-23F01,0.40476,3600
PR06-01-23F01,0.405213,4800
PR06-01-23F01,0.39281,6000
PR06-01-23F01,0.392325,7200
PR06-01-23F01,0.385513,8400
PR06-01-23F01,0.394356,9600
PR06-01-23F01,0.400748,10860
PR06-01-23F01,0.406113,12060
PR06-01-23F01,0.388362,13260
PR06-01-23F01,0.393899,14460
PR06-01-23F01,0.388478,15660
PR06-01-23F01,0.388108,16860
PR06-01-23F01,0.380825,18060
PR06-01-23F01,0.384506,19260
PR06-01-23F01,0.390644,20460
PR06-01-23F01,0.385323,21660
PR06-01-23F01,0.377883,22860
PR06-01-23F01,0.383415,24120
PR06-01-23F01,0.379344,25320
PR06-01-23F01,0.384851,26520
PR06-01-23F01,0.384485,27720
PR06-01-23F01,0.380522,28920
PR06-01-23F01,0.378793,30120
PR06-01-23F01,0.368785,31860
PR06-01-23F01,0.365275,33060
PR06-01-23F01,0.381318,34260
PR06-01-23F01,0.379604,35460
PR06-01-23F01,0.378944,36660
PR06-01-23F01,0.37533,37860
PR06-01-23F01,0.387722,39060
PR06-01-23F01,0.368131,40260
PR06-01-23F01,0.372667,41460
PR06-01-23F01,0.37114,42660
PR06-01-23F01,0.366015,43860
PR06-01-23F01,0.364596,45060
PR06-01-23F01,0.362467,46320
PR06-01-23F01,0.363425,47520
PR06-01-23F01,0.362468,48720
PR06-01-23F01,0.353001,51000
PR06-01-23F01,0.355056,52200
PR06-01-23F01,0.351699,53460
PR06-01-23F01,0.362482,54660
PR06-01-23F01,0.362374,55860
PR06-01-23F01,0.359004,57780
PR06-01-23F01,0.355627,58980
PR06-01-23F01,0.352743,60180
PR06-01-23F01,0.352024,61380
PR06-01-23F01,0.345199,62640
PR06-01-23F01,0.338157,63840
PR06-01-23F01,0.35134,65040
PR06-01-23F01,0.349895,66240
PR06-01-23F01,0.34748,67440
PR06-01-23F01,0.34227,68640
PR06-01-23F01,0.339828,69840
PR06-01-23F01,0.342181,71040
PR06-01-23F01,0.338177,72240
PR06-01-23F01,0.330598,73500
PR06-01-23F01,0.335391,78660
PR06-01-23F01,0.327031,79860
PR06-01-23F01,0.323838,81060
PR06-01-23F01,0.31602,82260
PR06-01-23F01,0.327883,83520
PR06-01-23F01,0.333258,84720
PR06-01-23F01,0.336905,85920
PR06-01-23F01,0.334691,87120
PR06-01-23F01,0.328958,88320
PR06-01-23F01,0.320623,89520
PR06-01-23F01,0.323714,90720
PR06-01-23F01,0.312089,91920
PR06-01-23F01,0.308459,93120
PR06-01-23F01,0.306527,94320
PR06-01-23F01,0.323811,95520
PR06-01-23F01,0.313021,96780
PR06-01-23F01,0.311538,97980
PR06-01-23F01,0.303704,99180
PR06-01-23F01,0.307826,100380
PR06-01-23F01,0.305579,101580
PR06-01-23F01,0.302358,102780
PR06-01-23F01,0.30512,103980
PR06-01-23F01,0.301478,105180
PR06-01-23F01,0.295474,106380
PR06-01-23F01,0.312724,107580
PR06-01-23F01,0.311502,108780
PR06-01-23F01,0.309644,110040
PR06-01-23F01,0.306486,111240
PR06-01-23F01,0.303832,112440
PR06-01-23F01,0.29912300000000003,113640
