code_experimentation,debitCO2_g,elapsedtime_s
PR13-10-23F13,0,0
PR13-10-23F13,0.001,1200
PR13-10-23F13,0.001,2400
PR13-10-23F13,0.001,3600
PR13-10-23F13,0.001,4800
PR13-10-23F13,0.003,6060
PR13-10-23F13,-0.001,7260
PR13-10-23F13,0,8460
PR13-10-23F13,0,9660
PR13-10-23F13,0,10860
PR13-10-23F13,0.001,12060
PR13-10-23F13,0.001,13260
PR13-10-23F13,0.001,14460
PR13-10-23F13,0.001,15660
PR13-10-23F13,0.001,16860
PR13-10-23F13,0.001,18060
PR13-10-23F13,0.002,19260
PR13-10-23F13,0.002,20460
PR13-10-23F13,0.002,21660
PR13-10-23F13,0.001,22860
PR13-10-23F13,0.001,24060
PR13-10-23F13,0.001,25260
PR13-10-23F13,0.002,26460
PR13-10-23F13,0.002,27660
PR13-10-23F13,0.002,28860
PR13-10-23F13,0.002,30060
PR13-10-23F13,0.003,31260
PR13-10-23F13,0.002,32460
PR13-10-23F13,0.002,33660
PR13-10-23F13,0.002,34860
PR13-10-23F13,0.001,36060
PR13-10-23F13,0.002,37260
PR13-10-23F13,0.002,38460
PR13-10-23F13,0.002,39660
PR13-10-23F13,0.003,40860
PR13-10-23F13,0.003,42060
PR13-10-23F13,0.003,43260
PR13-10-23F13,0.003,44460
PR13-10-23F13,0.003,45660
PR13-10-23F13,0.002,46860
PR13-10-23F13,0.002,48060
PR13-10-23F13,0.002,49260
PR13-10-23F13,0.002,50460
PR13-10-23F13,0.002,51660
PR13-10-23F13,0.003,52860
PR13-10-23F13,0.003,54060
PR13-10-23F13,0.003,55260
PR13-10-23F13,0.004,56460
PR13-10-23F13,-0.002,57660
PR13-10-23F13,0.003,58860
PR13-10-23F13,0.004,60060
PR13-10-23F13,0.001,61260
PR13-10-23F13,0.003,62460
PR13-10-23F13,0,63660
PR13-10-23F13,0.003,64860
PR13-10-23F13,0,66060
PR13-10-23F13,0.007,67260
PR13-10-23F13,-0.002,68460
PR13-10-23F13,0.003,69660
PR13-10-23F13,-0.001,70860
PR13-10-23F13,0.001,72060
PR13-10-23F13,0.004,73260
PR13-10-23F13,0.001,74460
PR13-10-23F13,0.002,75660
PR13-10-23F13,0.007,76860
PR13-10-23F13,0,78060
PR13-10-23F13,0.003,79260
PR13-10-23F13,0.005,80460
PR13-10-23F13,0.002,81660
PR13-10-23F13,0.007,82860
PR13-10-23F13,0.001,84060
PR13-10-23F13,0.003,85260
PR13-10-23F13,0.01,86460
PR13-10-23F13,0.002,87660
PR13-10-23F13,0.003,88860
PR13-10-23F13,0.005,90060
